clause_type,preprocessed_text
confidentiality,"['date', 'agreement', 'notwithstand', 'termin', 'mortgag', 'truste', 'beneficiari', 'shall', 'us', 'best', 'endeavour', 'disclos', 'person', 'whatsoev', 'inform', 'relat', 'busi', 'financ', 'matter', 'confidenti', 'natur', 'parti', 'hereto', 'virtu', 'parti', 'transact', 'document', 'possess', 'shall', 'us', 'reason', 'endeavour', 'prevent', 'disclosur', 'aforesaid', 'provid', 'provis', 'claus', 'shall', 'appli']"
confidential-information,"['“confidenti', 'information”', 'confidenti', 'inform', 'disclos', 'parti', '“disclos', 'party”', 'parti', '“receiv', 'party”', 'oral', 'write', 'design', 'confidenti', 'reason', 'understood', 'confidenti', 'given', 'natur', 'inform', 'circumst', 'disclosur', 'confidenti', 'inform', 'includ', 'data', 'company’', 'confidenti', 'inform', 'includ', 'servic', 'portion', 'thereof', 'term', 'condit', 'agreement', 'schedul', 'relat', 'servic', 'order', 'form', 'company’', 'busi', 'market', 'plan', 'technolog', 'technic', 'inform', 'product', 'plan', 'design', 'busi', 'process', 'disclos', 'compani', 'confidenti', 'inform', 'includ', 'inform', 'gener', 'known', 'public', 'breach', 'oblig', 'ow', 'disclos', 'parti', 'known', 'receiv', 'parti', 'prior', 'disclosur', 'disclos', 'parti', 'breach', 'oblig', 'ow', 'disclos', 'parti', 'iii', 'receiv', 'parti', 'breach', 'oblig', 'ow', 'disclos', 'parti', 'independ', 'develop', 'receiv', 'parti', 'receiv', 'parti', 'disclos', 'confidenti', 'inform', 'extent', 'requir', 'compli', 'bind', 'order', 'government', 'entiti', 'jurisdict', 'provid', 'extent', 'legal', 'permit', 'law', 'receiv', 'parti', 'give', 'disclos', 'parti', 'reason', 'written', 'notic', 'allow', 'disclos', 'parti', 'seek', 'protect', 'order', 'appropri', 'remedi', 'disclos', 'confidenti', 'inform', 'requir', 'government', 'entiti', 'acknowledg', 'compani', 'licensor', 'retain', 'intellectu', 'properti', 'right', 'titl', 'confidenti', 'inform', 'proprietari', 'inform', 'shall', 'includ', 'limit', 'product', 'servic', 'idea', 'concept', 'techniqu', 'invent', 'process', 'softwar', 'work', 'authorship', 'develop', 'embodi', 'practic', 'connect', 'servic', 'provid', 'compani', 'hereund']"
indemnification,"['tenant', 'shall', 'indemnifi', 'defend', 'hold', 'harmless', 'protect', 'landlord', 'agent', 'employe', 'offic', 'affili', 'loss', 'cost', 'damag', 'expens', 'liabil', 'includ', 'limit', 'court', 'cost', 'reason', 'attorneys’', 'fee', 'incur', 'connect', 'aris', 'time', 'term', 'subleas', 'includ', 'primari', 'term', 'extens', 'term', 'holdov', 'occup', 'tenant', 'outsid', 'term', 'caus', 'whatsoev', 'demis', 'premis', 'damag', 'caus', 'reason', 'neglig', 'will', 'misconduct', 'landlord', 'agent', 'employe', 'landlord’', 'violat', 'subleas', 'extent', 'default', 'tenant', 'observ', 'perform', 'term', 'coven', 'condit', 'subleas', 'tenant’', 'observ', 'perform', 'us', 'occup', 'demis', 'premis', 'tenant', 'person', 'claim', 'tenant', 'iii', 'will', 'misconduct', 'neglig', 'tenant', 'person', 'claim', 'tenant', 'contractor', 'agent', 'servant', 'employe', 'visitor', 'license', 'tenant', 'person', 'demis', 'premis', 'term', 'includ', 'limit', 'holdov', 'connect', 'therewith', 'includ', 'limit', 'will', 'misconduct', 'neglig', 'make', 'perform', 'alter', 'tenant', 'agre', 'indemnifi', 'hold', 'harmless', 'landlord', 'landlord’', 'agent', 'landlord', 'landlord', 'ground', 'underli', 'leas', 'loss', 'cost', 'liabil', 'damag', 'expens', 'includ', 'limit', 'reason', 'attorneys’', 'fee', 'incur', 'connect', 'aris', 'claim', 'person', 'reason', 'injuri', 'person', 'damag', 'properti', 'occas', 'default', 'will', 'misconduct', 'neglig', 'refer', 'preced', 'sentenc', 'provis', 'section', 'shall', 'surviv', 'expir', 'sooner', 'termin', 'subleas', 'respect', 'claim', 'liabil', 'occur', 'prior', 'expir', 'termin', 'shall', 'limit', 'reason', 'insur', 'carri', 'landlord', 'tenant']"
confidential-information,"['execut', 'acknowledg', 'cours', 'employ', 'compani', 'execut', 'receiv', 'receiv', 'access', 'confidenti', 'inform', 'special', 'uniqu', 'valu', 'concern', 'compani', 'busi', 'includ', 'limit', 'trade', 'secret', 'know', 'list', 'custom', 'employe', 'record', 'book', 'record', 'relat', 'oper', 'cost', 'provid', 'servic', 'equip', 'oper', 'mainten', 'cost', 'price', 'criteria', 'seismic', 'data', 'engin', 'scientif', 'studi', 'log', 'prospect', 'oil', 'ga', 'product', 'confidenti', 'inform', 'knowledg', 'concern', 'busi', 'compani', 'affili', 'hereinaft', 'collect', 'refer', 'inform', 'compani', 'desir', 'protect', 'execut', 'acknowledg', 'inform', 'confidenti', 'protect', 'confidenti', 'inform', 'unauthor', 'us', 'disclosur', 'critic', 'import', 'compani', 'execut', 'agre', 'reveal', 'inform', 'outsid', 'compani', 'execut', 'agre', 'term', 'agreement', 'year', 'us', 'disclos', 'inform', 'termin', 'employ', 'hereund', 'execut', 'shall', 'surrend', 'compani', 'paper', 'document', 'write', 'properti', 'produc', 'come', 'possess', 'employ', 'hereund', 'relat', 'inform', 'refer', 'section', 'execut', 'agre', 'materi', 'time', 'remain', 'properti', 'compani', 'oblig', 'confidenti', 'non', 'us', 'non', 'disclosur', 'inform', 'pursuant', 'section', 'shall', 'extend', 'inform', 'public', 'domain', 'prior', 'disclosur', 'disclos', 'parti', 'come', 'public', 'domain', 'breach', 'agreement', 'iii', 'disclos', 'execut', 'termin', 'agreement', 'parti', 'have', 'legitim', 'possess', 'thereof', 'unrestrict', 'right', 'disclosur', 'disclos', 'execut', 'direct', 'good', 'faith', 'further', 'duti', 'compani', 'contempl', 'agreement', 'agreement', 'section', 'shall', 'surviv', 'termin', 'agreement']"
confidentiality,"['seller', 'parti', 'purchas', 'shall', 'maintain', 'shall', 'caus', 'employe', 'offic', 'maintain', 'confidenti', 'agreement', 'confidenti', 'proprietari', 'inform', 'respect', 'collater', 'agent', 'manag', 'agent', 'conduit', 'purchas', 'respect', 'busi', 'obtain', 'connect', 'structur', 'negoti', 'execut', 'transact', 'contempl', 'seller', 'parti', 'purchas', 'offic', 'employe', 'disclos', 'inform', 'seller', 'party’', 'purchaser’', 'extern', 'account', 'attornei', 'requir', 'pursuant', 'law', 'rule', 'regul', 'direct', 'request', 'order', 'judici', 'administr', 'regulatori', 'author', 'proceed', 'have', 'forc', 'effect', 'law']"
indemnification-and-contribution,"['connect', 'registr', 'statement', 'compani', 'guarantor', 'jointli', 'sever', 'agre', 'indemnifi', 'hold', 'harmless', 'holder', 'transfer', 'restrict', 'note', 'cover', 'director', 'offic', 'employe', 'holder', 'person', 'control', 'holder', 'mean', 'section', 'act', 'section', 'exchang', 'act', 'loss', 'claim', 'damag', 'liabil', 'joint', 'control', 'person', 'subject', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'registr', 'statement', 'origin', 'file', 'amend', 'thereof', 'preliminari', 'prospectu', 'prospectu', 'amend', 'thereof', 'supplement', 'thereto', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'mislead', 'reimburs', 'incur', 'indemnifi', 'parti', 'legal', 'expens', 'reason', 'incur', 'connect', 'investig', 'defend', 'appear', 'parti', 'wit', 'connect', 'loss', 'claim', 'damag', 'liabil', 'action', 'provid', 'compani', 'guarantor', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'relianc', 'conform', 'written', 'inform', 'relat', 'holder', 'furnish', 'compani', 'holder', 'specif', 'inclus', 'indemn', 'agreement', 'addit', 'liabil', 'compani']"
indemnification-by-the-company,"['greatest', 'extent', 'permit', 'applic', 'law', 'compani', 'shall', 'indemnifi', 'hold', 'harmless', 'purchas', 'affili', 'offic', 'director', 'employe', 'agent', 'successor', 'assign', 'purchas', 'indemnifi', 'parti', 'liabil', 'loss', 'diminut', 'valu', 'damag', 'claim', 'cost', 'expens', 'award', 'judgment', 'penalti', 'includ', 'limit', 'attornei', 'consult', 'fee', 'expens', 'suffer', 'incur', 'includ', 'limit', 'action', 'brought', 'initi', 'hereinaft', 'loss', 'aris', 'result', 'breach', 'represent', 'warranti', 'compani', 'contain', 'agreement', 'certif', 'instrument', 'deliv', 'pursuant', 'hereto', 'set', 'forth', 'breach', 'agreement', 'coven', 'compani', 'contain']"
participations,"['lender', 'subject', 'provis', 'section', 'sell', 'particip', 'bank', 'financi', 'institut', 'person', 'portion', 'right', 'oblig', 'agreement', 'includ', 'limit', 'portion', 'commit', 'particip', 'lender']"
capitalization,"['author', 'equiti', 'secur', 'compani', 'consist', 'share', 'common', 'stock', 'par', 'valu', 'share', 'issu', 'outstand', 'constitut', 'share', 'seller', 'record', 'benefici', 'owner', 'holder', 'share', 'free', 'clear', 'encumbr', 'legend', 'refer', 'purport', 'encumbr', 'appear', 'certif', 'repres', 'equiti', 'secur', 'compani', 'outstand', 'equiti', 'secur', 'compani', 'duli', 'author', 'validli', 'issu', 'fulli', 'paid', 'non', 'assess', 'contract', 'relat', 'issuanc', 'sale', 'transfer', 'equiti', 'secur', 'secur', 'compani', 'outstand', 'equiti', 'secur', 'secur', 'compani', 'issu', 'violat', 'secur', 'act', 'legal', 'requir', 'compani', 'compani', 'contract', 'acquir', 'equiti', 'secur', 'secur', 'person', 'compani', 'direct', 'indirect', 'equiti', 'ownership', 'busi']"
indemnification-and-contribution,"['corpor', 'agre', 'indemnifi', 'hold', 'harmless', 'subscrib', 'loss', 'claim', 'damag', 'liabil', 'action', 'proceed', 'respect', 'thereof', 'subscrib', 'subject', 'secur', 'act', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'proceed', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'materi', 'fact', 'contain', 'registr', 'statement', 'effect', 'date', 'thereof', 'aris', 'failur', 'corpor', 'fulfil', 'undertak', 'includ', 'registr', 'statement', 'corpor', 'incur', 'reimburs', 'subscrib', 'legal', 'expens', 'reason', 'incur', 'investig', 'defend', 'prepar', 'defend', 'action', 'proceed', 'claim', 'provid', 'corpor', 'shall', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'aris', 'base', 'untru', 'statement', 'registr', 'statement', 'relianc', 'conform', 'written', 'inform', 'furnish', 'corpor', 'behalf', 'subscrib', 'specif', 'us', 'prepar', 'registr', 'statement', 'failur', 'subscrib', 'compli', 'coven', 'agreement', 'contain', 'agreement', 'untru', 'statement', 'prospectu', 'correct', 'subsequ', 'prospectu', 'deliv', 'subscrib', 'prior', 'pertin', 'sale', 'sale', 'subscrib']"
